fold,level,hierarchy,class,precision,recall,f1,support
P6,image,guide,rpsA_1,0.0,0.0,0.0,21
P6,image,guide,rpsA_2,0.0,0.0,0.0,21
P6,image,guide,rpsA_3,0.05172413793103448,0.14285714285714285,0.0759493670886076,21
P6,image,guide,rpsL_1,0.25,0.2857142857142857,0.26666666666666666,21
P6,image,guide,rpsL_2,0.0,0.0,0.0,21
P6,image,guide,rpsL_3,0.0,0.0,0.0,21
P6,image,guide,secA_1,0.03571428571428571,0.047619047619047616,0.04081632653061224,21
P6,image,guide,secA_2,0.1864406779661017,0.5238095238095238,0.275,21
P6,image,guide,secA_3,0.09230769230769231,0.2857142857142857,0.13953488372093023,21
P6,image,guide,secY_1,0.0,0.0,0.0,21
P6,image,guide,secY_2,0.05263157894736842,0.047619047619047616,0.05,21
P6,image,guide,secY_3,0.0,0.0,0.0,21
P6,image,gene,NC,0.19047619047619047,0.12698412698412698,0.1523809523809524,126
P6,image,gene,WT NC,0.7757009345794392,0.6587301587301587,0.7124463519313304,126
P6,image,gene,dnaB,0.08,0.031746031746031744,0.045454545454545456,63
P6,image,gene,dnaE,0.06060606060606061,0.031746031746031744,0.041666666666666664,63
P6,image,gene,folA,0.22033898305084745,0.4126984126984127,0.287292817679558,63
P6,image,gene,folP,0.0625,0.015873015873015872,0.02531645569620253,63
P6,image,gene,ftsI,0.5,0.20634920634920634,0.29213483146067415,63
